SVL,Weight,HeadW,ShW,ThL,LoLegL,ThW,LLegW,Risk
14.017,0.192,4.591030199,3.979706651,5.2105,4.827,2.224828454,1.448262214,null
14.183,0.192,4.802422266,4.383315354,5.7845,4.873,2.051553544,1.369298452,null
14.384,0.192,4.885319721,4.166929729,5.876,5.11,2.194776712,1.21615771,low
14.504,0.192,4.986663728,4.752014351,5.695,5.365,2.235246053,1.227963172,low
14.659,0.192,4.899063663,4.341756143,5.915,5.552,2.078856595,1.345569263,low
14.693,0.192,4.982523876,4.55490502,5.774,5.286,2.21285458,1.329056304,low
14.929,0.192,4.75784968,4.682591562,6.025,5.3165,2.16817446,1.42558244,med
13.524,0.194,4.613506924,4.386364137,5.1875,4.599,2.313864435,1.714296666,null
13.645,0.194,4.767135256,4.0262413,5.714,5.054,2.260093769,1.438358299,null
13.876,0.194,5.030812285,4.46603177,5.5225,4.843,2.23902839,1.405149016,null
14.344,0.194,4.710275534,4.468316336,5.88,5.3015,2.097658692,1.277001644,low
14.439,0.194,5.003164996,4.892697658,5.6255,5.1095,2.157321814,1.434255514,low
14.485,0.194,4.788508491,3.88631795,5.0245,4.946,2.289819695,1.182105191,low
14.529,0.194,4.612566847,4.307963593,5.347,4.898,2.160289949,1.387938242,low
14.616,0.194,4.748938504,4.317809562,6.0045,5.111,2.237008722,1.228823249,low
14.672,0.194,4.935478529,4.44410825,5.492,5.1805,2.375645694,1.313892413,low
14.763,0.194,5.036991601,4.763864615,5.801,5.316,2.222605243,1.240160789,med
13.986,0.195,4.670351349,4.12759058,5.3275,4.952,2.140674224,1.279244703,null
14.162,0.195,4.767570952,3.92614522,5.854,5.385,2.164355315,1.349105776,null
14.202,0.195,4.845157604,4.385264656,5.153,4.797,2.1132835,1.377523965,null
14.219,0.195,4.69921823,4.244891988,5.6245,5.0035,2.093609189,1.38402244,low
14.224,0.195,4.763779183,4.490594641,5.6275,5.234,2.264933492,1.310439704,low
14.281,0.195,4.860111272,4.272062224,5.672,4.935,2.16502415,1.436875738,low
14.484,0.195,5.225874512,4.502732911,5.557,5.0845,2.099247168,1.523618739,low
14.699,0.195,4.799093503,4.288015403,5.4815,5.1635,2.377765525,1.340508635,low
14.785,0.195,4.886167888,4.26697009,6.106,5.3835,2.181755089,1.336918239,med
15.034,0.195,4.89193196,4.556998657,5.883,5.31,2.231311764,1.317232703,med
15.078,0.195,4.969734988,4.472710007,5.549,5.0535,2.367631884,1.442154452,med
13.889,0.196,4.609225949,3.934047604,5.6265,5.0785,2.29230526,1.376150142,null
14.086,0.196,4.654271104,4.086611235,5.4605,4.8885,2.230121307,1.359705664,null
14.178,0.196,4.53293446,4.032391581,4.7525,4.7085,2.361320386,1.525282502,null
14.205,0.196,4.96180824,4.474317864,6.053,5.359,2.293336061,1.252188742,null
14.291,0.196,4.870699434,4.391220252,5.936,5.5525,2.197461697,1.276783829,low
14.373,0.196,4.872405304,4.19665642,6.0545,5.2765,2.105463785,1.352295889,low
14.635,0.196,4.606125036,4.85399774,5.381,4.9035,2.310157743,1.205596634,low
14.704,0.196,4.909113639,4.667540709,5.548,5.3935,2.170776051,1.458703816,low
14.82,0.196,4.986229383,4.493679314,5.5655,5.211,2.165191295,1.403141746,med
14.044,0.197,4.786552505,4.077618017,5.9215,4.652,2.255944199,1.468677385,null
14.083,0.197,4.799902126,4.672357968,6.018,5.255,2.197642915,1.362629371,null
14.236,0.197,5.069625523,4.342550882,5.807,5.3895,2.125923823,1.33393169,low
14.275,0.197,4.595065899,4.303770061,5.534,4.731,2.176046432,1.401361275,low
14.295,0.197,4.882943413,4.162907123,5.916,5.616,2.277840348,1.3586929,low
14.409,0.197,4.980482336,4.533854722,5.849,5.1125,2.033799685,1.270818865,low
14.519,0.197,4.674317374,4.305166399,5.588,5.2105,2.154521995,1.377849604,low
14.569,0.197,4.841570629,4.526596705,5.7435,5.4905,2.205298441,1.306122802,low
14.754,0.197,4.685513402,4.656154362,5.4125,4.9705,2.215153047,1.320260709,med
15.171,0.197,4.694153133,4.507209227,5.391,5.381,2.251570861,1.286509434,med
13.839,0.198,4.623534032,4.251230684,6.105,5.1895,2.021249574,1.223311172,null
14.744,0.198,4.927627999,4.513448869,5.1575,4.69,2.213695335,1.395700295,med
14.745,0.198,4.936792284,4.253647668,5.742,5.5095,2.234248455,1.054710733,med
15.316,0.198,5.103242891,4.474026115,6.293,5.4095,2.181512591,1.320465789,high
13.718,0.199,4.74061132,4.194657267,5.9235,5.3605,2.208285597,1.364569843,null
13.731,0.199,4.707913683,4.379518474,5.6845,5.1565,2.163843891,1.441371193,null
13.782,0.199,4.814843007,4.240179316,5.7175,4.4565,2.215511298,1.601808485,null
14.187,0.199,5.089073358,4.38094478,5.305,4.7735,2.476019228,1.325220426,null
14.298,0.199,4.954374197,4.578353951,5.9,5.195,2.204224882,1.336213165,low
14.316,0.199,4.994507803,4.92943684,5.875,5.4185,2.100583198,1.298311829,low
14.4,0.199,4.773055128,4.550902157,6.2745,5.7585,2.105264714,1.10885959,low
14.43,0.199,4.898437731,4.508656289,6.02,5.144,2.102738804,1.466530259,low
14.461,0.199,4.891644153,4.397560039,5.9755,5.4755,2.156837722,1.181818529,low
14.466,0.199,4.976725707,3.978083695,5.502,5.29,2.266405592,1.398413344,low
14.758,0.199,5.295477721,4.427230945,5.967,5.4605,2.150968803,1.346000379,med
13.897,0.2,4.542499249,4.096609784,5.7135,5.4115,2.080121466,1.226596955,null
13.99,0.2,4.668327761,4.284021641,5.0295,5.053,2.399426136,1.548573515,null
14.248,0.2,4.985994203,4.04418731,5.7865,5.287,2.155011851,1.352019364,low
